Channel,SurveyId,ExperienceDate,ResponseId,Name,Phrase,Type,Label,ResponseType,Answer
Hannaford Delivery,B0soxwEtYBEI9JksB4BN9Q4C,2020-12-16 00:00:00,SBD8729Q018,Is the value you receive from the Hannaford To Go service worth the service fee you are charged?,Is the value you receive from the Hannaford To Go service worth the service fee you are charged?,CQ,Value of HTG,RADIO_BUTTON_ONE_UP_VERTICAL,Yes
Hannaford Delivery,N4QIB5MdVIwVs1wcpANABA4C,2020-12-16 00:00:00,SBD8729Q022,Were you contacted by Hannaford regarding your order?,Were you contacted by Hannaford regarding your order?,CQ,Contact,RADIO_BUTTON_ONE_UP_VERTICAL,No
Hannaford Delivery,B0soxwEtYBEI9JksB4BN9Q4C,2020-12-16 00:00:00,PAT0442020,Which of the following best describes your recent delivery?,Which of the following best describes your recent delivery?,CQ,Delivery On Time,RADIO_BUTTON_ONE_UP_VERTICAL,Early
Hannaford Delivery,B0soxwEtYBEI9JksB4BN9Q4C,2020-12-16 00:00:00,SBD8729Q005,When was your order delivered?,When was your order delivered?,CQ,Order Delivery Time,RADIO_BUTTON_ONE_UP_VERTICAL,Three or more days after I placed my order
Hannaford Delivery,EdIMRVJZRJ08x1RthAR4ZQ4C,2020-12-16 00:00:00,SBD8729Q020,Did you shop at Hannaford or use Hannaford To Go pickup before you started using Hannaford To Go delivery?,Did you shop at Hannaford or use Hannaford To Go pickup before you started using Hannaford To Go delivery?,CQ,Prior Hannaford Shopper,RADIO_BUTTON_ONE_UP_VERTICAL,Yes - Both
Hannaford Delivery,dw5lE0BFxUhQxpJgQ14pBw4C,2020-12-16 00:00:00,SBD8729Q005,When was your order delivered?,When was your order delivered?,CQ,Order Delivery Time,RADIO_BUTTON_ONE_UP_VERTICAL,Three or more days after I placed my order
Hannaford Delivery,ZdYw95x9dsdRMgJ1RJU1gQ4C,2020-12-16 00:00:00,SBD8729Q006,Were they any issues with your order?,Were they any issues with your order?,CQ,Items Received,RADIO_BUTTON_ONE_UP_VERTICAL,No
Hannaford Delivery,wNl5N4BM5oVM8ksMM9E5Mw4C,2020-12-16 00:00:00,SBD8729Q043,Which age range do you fall into?,Which age range do you fall into?,CQ,Age,SELECT_ONE_DROPDOWN,65-74
Hannaford Delivery,EdIMRVJZRJ08x1RthAR4ZQ4C,2020-12-16 00:00:00,SBD8729Q002,Did you need to edit your order after you placed it?,Did you need to edit your order after you placed it?,CQ,Edit Order,RADIO_BUTTON_ONE_UP_VERTICAL,No
Hannaford Delivery,dw5lE0BFxUhQxpJgQ14pBw4C,2020-12-16 00:00:00,SBD8729Q010,Did you or are you going to return or exchange any portion of your order?,Did you or are you going to return or exchange any portion of your order?,CQ,Return Items,RADIO_BUTTON_ONE_UP_VERTICAL,No
Hannaford Delivery,4NQAtsV9sx8Ad5VAttdwJw4C,2020-12-16 00:00:00,SBD8729Q010,Did you or are you going to return or exchange any portion of your order?,Did you or are you going to return or exchange any portion of your order?,CQ,Return Items,RADIO_BUTTON_ONE_UP_VERTICAL,No
Hannaford Delivery,wNl5N4BM5oVM8ksMM9E5Mw4C,2020-12-16 00:00:00,SBD8729Q002,Did you need to edit your order after you placed it?,Did you need to edit your order after you placed it?,CQ,Edit Order,RADIO_BUTTON_ONE_UP_VERTICAL,No
Hannaford Delivery,A0RR1pAx1otE9pAZVRwgIg4C,2020-12-16 00:00:00,SBD8729Q003,How satisfied were you with the process of editing your order?,How satisfied were you with the process of editing your order?,CQ,Edit Satisfaction,RADIO_BUTTON_SCALE_NO_DONT_KNOW,9
Hannaford Delivery,cAplN8I9cch8ox5tZkEBQw4C,2020-12-16 00:00:00,SBD8729Q029,Quality of fresh items,Quality of fresh items,CQ,Fresh Items,RADIO_BUTTON_SCALE_WITH_DONT_KNOW,8
Hannaford Delivery,EdIMRVJZRJ08x1RthAR4ZQ4C,2020-12-16 00:00:00,SBD8729Q032,"Please think back to when you were ordering your items for delivery.  Thinking about your ordering experience, please rate Hannaford on the following: Item availability","Please think back to when you were ordering your items for delivery.  Thinking about your ordering experience, please rate Hannaford on the following: Item availability",CQ,Item Availability,RADIO_BUTTON_SCALE_WITH_DONT_KNOW,9
